name,date_published,citation,source,abstract
Subcutaneous fat distribution in the human torso,2014-09-00,International Research Council on Biomechanics of Injury. 2014 Sep. Session S1-5 - Tissue Biomechanics/Tissue Characterization 2&#58; IRC-14-43.,http://www.ircobi.org/wordpress/downloads/irc14/pdf_files/43.pdf,"With obesity becoming a major health issue in recent years and a topic of interest in vehicle occupant safety, there is a need for detailed descriptions of body fat distribution in order to develop accurate models of the human body. In this study subcutaneous fat measurements were obtained from over 17,000 CT scans using planar distance maps from skin surface locations to the fascial envelope. Measures were taken as a map registered by vertebral level (from T6 down to L5, extended to the sacrum) and body location around the body perimeter. Multivariate regression maps were calculated showing the individual effect of demographics on the subcutaneous layer thickness. Regression coefficients were statistically significant, with results showing the progression of 20 years of age producing a migration of 3mm of fat from mid‐abdominal to lower‐ abdominal regions and female occupants having thicker subcutaneous regions compared to males by between 6 and 24mm with accumulation peaks near the buttocks and breasts. Each 20kg of added body weight produce regional fat increases between 2 and 14mm across the torso, with a primary peak near the hips and secondary peak near the lower abdomen."
Perioperative changes in trunk musculature on postoperative outcomes,2014-09-00,J Surg Res. 2014 Sep&#59;191(1)&#58;106-12. doi&#58; 10.1016/j.jss.2014.03.056. Epub 2014 Mar 22.,https://www.ncbi.nlm.nih.gov/pubmed/24750985,"BACKGROUND Surgeons often face difficult decisions in selecting which patients can tolerate major surgical procedures. Although recent studies suggest the potential for trunk muscle size, as measured on preoperative imaging, to inform surgical risk, these measures are static and do not account for the effect of the surgery itself. We hypothesize that trunk muscle size will show dynamic changes over the perioperative period, and this change correlates with postoperative mortality risk. METHODS A total of 425 patients who underwent inpatient general surgery were identified to have both a 90-d preoperative and a 90-d postoperative abdominal computed tomography scan. The change in trunk muscle size was calculated using analytic morphomic techniques. The primary outcome was 1-y survival. Covariate-adjusted outcomes were assessed using multivariable logistic regression. RESULTS A total of 82.6&#37; patients (n &#61; 351) experienced a decrease in trunk muscle size in the time between their scans (average 62.1 d). When stratifying patients into tertiles of rate of change in trunk muscle size and adjusting for other covariates, patients in the tertile of the greatest rate loss had significantly increased risk of 1-y mortality than those in the tertile of the least rate loss (P &#61; 0.002&#59; odds ratio &#61; 3.40 95&#37; confidence interval, 1.55-7.47). The adjusted mortality rate for the tertile of the greatest rate loss was 24.0&#37; compared with 13.3&#37; for the tertile of the least decrease. CONCLUSIONS Trunk muscle size changes rapidly in the perioperative period and correlates with mortality. Trunk muscle size may be a critical target for interventional programs focusing on perioperative optimization of the surgical patient."
Abdominal wall dynamics after component separation hernia repair,2014-08-00,J Surg Res. 2014 Aug&#59;193(1)&#58;497-503. doi&#58; 10.1016/j.jss.2014.08.008. Epub 2014 Aug 9.,https://www.ncbi.nlm.nih.gov/pubmed/25201576,"BACKGROUND The component separation technique (CST) is an important technique now used frequently in complex ventral hernia repair (VHR). Although this technique has demonstrated superior success rates, there is a paucity of research describing how release of the external obliques coupled with rectus myofascial advancement alters the morphology of the abdominal architecture. In this study, we apply the new concept of analytic morphomics to describe the immediate changes in morphology of the abdomen that take place after VHR by CST. METHODS We identified 21 patients who underwent VHR by CST and received both preoperative and postoperative computed tomography scans between 2004 and 2009 in our clinical database. The surgical technique involved incisional release of the external oblique muscle lateral to the linea semilunaris with rectus abdominis myofascial advancement in all patients. Using semiautomated morphomic analysis, we measured the pre- and post-operative dimensions of the abdominal wall including the anterior-posterior distance from the anterior vertebra-to-skin and fascia along with the circumferential area of the skin and fascial compartments. Paired Student t-tests were used to compare pre- and post-operative values. RESULTS After hernia repair, there was a decrease in the anterior vertebra-to-skin distance (16.6 cm-15.8 cm, P &#61; 0.007). There were also decreases in total body area (968.0 cm(2)-928.6 cm(2), P &#61; 0.017) and total body circumference (113.6 cm-111.4 cm, P &#61; 0.016). The distance from fascia to skin decreased as well, almost to the point of statistical significance (3.3 cm-2.9 cm, P &#61; 0.0505). Interestingly, fascia area and circumference did not decrease significantly after the operation (578.2 cm(2)-572.5 cm(2), P &#61; 0.519, and 89.1 cm-88.6 cm, P &#61; 0.394, respectively). CONCLUSIONS Morphomic analysis can be used to compare and pre- and post-operative changes in patients undergoing abdominal surgery. Our study demonstrates that component separation affects the dimensions of the entire abdomen, but leaves the fascia area and circumference relatively unchanged. These changes in the abdominal wall may help explain the muscular changes observed as a result of this operation and demonstrate that this is a functional operation that restores fascial area. By better defining the effects of this procedure, we can better understand the reason for its clinical success."
Transsacral screw safe zone size by sacral segmentation variations,2014-06-00,J Orthop Res. 2014 June 30&#59;33(2)&#58;277-82. doi&#58; 10.1002/jor.22739. Epub 2014 Sep 17,https://www.ncbi.nlm.nih.gov/pubmed/25231682,"Variations in sacral segmentation may preclude safe placement of transsacral screws for posterior pelvis fixation. We developed a novel automated 3D technique to determine the safe zone size for transsacral screws in the upper two sacral segments in 526 adult pelvis computed tomography scans. Safe zone sizes were then compared by gender and sacral segmentation variations (number of neuroforamen and the presence/absence of lumbosacral transitional vertebrae, &#177; LSTV). Ten millimeters was used as the safety threshold for a large screw. 3 (0.6&#37;), 366 (70&#37;), and 157 (30&#37;) sacra had 3, 4, or 5 neuroforamen, respectively. Eighty-eight (17&#37;) were &#43;LSTV. Safe zone size depended on gender, number of neuroforamen in -LSTV sacra and presence of LSTV (p &#60; 0.001) but not on the uni- or bilateral nature of the LSTV. 17&#37; of -LSTV sacra were below the safety threshold in S1, 27&#37; in S2, whereas 3&#37; of &#43;LSTV sacra were below in S1, 74&#37; in S2. Of -LSTV sacra that cannot take an S1 screw safely, 77&#37; can do so in S2, leaving only 4&#37; of sacra that cannot accommodate a screw safely in either upper segment. The results demonstrate a predictable pattern of safe zone size based on gender and sacral segmentation variations."
Quantification of pediatric and adult cervical vertebra-anatomical characteristics by age and gender for automotive application,2014-05-27,Traffic Inj Prev. 2014 May 27&#59;15(6)&#58;572-82. doi&#58; 10.1080/15389588.2013.843774.,https://www.ncbi.nlm.nih.gov/pubmed/24625249,"OBJECTIVE The cervical anatomy has been shown to affect injury patterns in vehicle crashes. Characterizing the spine anatomy and changes associated with growth and gender is important when assessing occupant protection. In this study, selected cervical characteristics were quantified. METHODS Computed tomography (CT) scans of 750 patients were selected from the University of Michigan trauma database&59; 314 were children and 436 were adults. Four variables were obtained&#58; the maximum spinal canal radius, vertebral body depth, facet angles, and retroversion angles. RESULTS The cervical spine measurements varied with age and gender. The body depth increased nonlinearly with age. The average vertebral body depth at C4 was 9.2 &#177; 0.38 mm in the 0-3 age group, 15.7 &#177; 0.29 mm in the 18-29 age group, and 17.2 &#177; 0.46 mm in the 60&#43; age group. Pediatric and adult males had larger vertebral body depth than females overall, irrespective of vertebral level (P &#60;.001). Compared to females, the vertebral body depth was 8-9 percent greater in male children and 13-16 percent greater in adult males. The average radius varied with gender, with male children generally having a larger radius than females irrespective of vertebral level (P &#60;.001). Overall, spinal canal radius was smallest in the 0-3 and 60&#43; age groups and largest in the 18-29 age group. The C4 radius was 5.91 &#177; 0.17, 6.28 &#177; 0.14, and 6.73 &#177; 0.17 mm respectively. The radius was larger in the 4-7 age group than in the 0-3 age group, irrespective of vertebral level (P &#60;.0001). There were nonsignificant radius changes between the 4-7 and 8-11 age groups and the 8-11 and age 12-17 groups, suggesting that the size of the spinal cord reaches near maturation by the age of 7. Facet angles decreased with age in children and increased with age in adults. The average facet angles were largest in the 0-3 age group (P &#60;.1, C2-C6). Adult facet angles were greater in the 60&#43; age group than in the 18-29 age group (P &#60;.0001, C2-C6). Males had larger facet angles than females overall (P &#60;.01 at C2, C5-C7). The retroversion angles were largest at C6 and C7. They increased with age in children and decreased in the adult population&#59; they were larger (5-22&#37;) in the 18-29 age group than in the 60&#43; age group (P &#60;.0001, C2-C6). CONCLUSIONS The results obtained in this study help explain variations in cervical anatomical changes associated with age and gender. The information is useful when assessing differences in injury patterns between different segments of the population. Anatomical measurements of the cervical spine should be considered for the development of models used to assess injury mechanisms for various occupant age groups."
Use of morphomic assessment of body composition to quantify risk of surgical-site infection in patients undergoing component separation ventral hernia repair,2014-04-00,Plast Reconstr Surg. 2014 Apr&#59;133(4)&#58;559e-66e. doi&#58; 10.1097/PRS.0000000000000009.,https://www.ncbi.nlm.nih.gov/pubmed/24675208,"BACKGROUND Body mass index does not allow accurate risk stratification for individuals undergoing component separation repair of ventral hernias. The authors hypothesized that tissue morphology measurements (morphomics) of preoperative computed tomography scans stratify the risk of surgical site infection in patients undergoing ventral hernia repair with a component separation technique. METHODS The authors identified 93 patients who underwent component release ventral hernia repair (2004 to 2012). The surgical technique involved release of the external oblique muscle lateral to the linea semilunaris. Using analytic morphomic techniques, the authors measured patients&#39; morphology using routine preoperative computed tomography scans. Two-sample t test was used to evaluate the effect of morphomic and demographic factors on surgical-site infection. Separate logistic regression analyses were performed on these morphomic factors to evaluate their predictive value in assessing the risk of surgical site infection, controlling for demographic covariates. RESULTS Surgical site infections were observed in 31 percent (n &#61; 29) of the population. Subcutaneous fat area, total body area, and total body circumference had increased odds ratios for surgical site infection (p &#61; 0.004, 0.014, and 0.012, respectively), indicating that these measures are better associated with surgical site infection than body mass index. These calculations control for demographic covariates, confirming that these morphomic parameters are predictive of surgical site infection. CONCLUSION Specific morphomic values serve as superior predictors of surgical site infection in patients undergoing component separation technique hernia repair than currently used values such as body mass index. CLINICAL QUESTION/LEVEL OF EVIDENCE Risk, III."
Morphometric age and mortality after liver transplant,2014-04-00,JAMA Surg. 2014 Apr&#59;149(4)&#58;335-40. doi&#58; 10.1001/jamasurg.2013.4823.,https://www.ncbi.nlm.nih.gov/pubmed/24500820,"IMPORTANCE Morphometric assessment has emerged as a strong predictor of postoperative morbidity and mortality. However, a gap exists in translating this knowledge to bedside decision making. We introduced a novel measure of patient-centered surgical risk assessment&#58; morphometric age. OBJECTIVE To investigate the relationship between morphometric age and posttransplant survival. DATA SOURCES Medical records of recipients of deceased-donor liver transplants (study population) and kidney donors/trauma patients (morphometric age control population). STUDY SELECTION A retrospective cohort study of 348 liver transplant patients and 3313 control patients. We assessed medical records for validated morphometric characteristics of aging (psoas area, psoas density, and abdominal aortic calcification). We created a model (stratified by sex) for a morphometric age equation, which we then calculated for the control population using multivariate linear regression modeling (covariates). These models were then applied to the study population to determine each patient's morphometric age. DATA EXTRACTION AND SYNTHESIS All analytic steps related to measuring morphometric characteristics were obtained via custom algorithms programmed into commercially available software. An independent observer confirmed all algorithm outputs. Trained assistants performed medical record review to obtain patient characteristics. RESULTS Cox proportional hazards regression model showed that morphometric age was a significant independent predictor of overall mortality (hazard ratio, 1.03 per morphometric year [95&#37; CI, 1.02-1.04&#59; P &#60; .001]) after liver transplant. Chronologic age was not a significant covariate for survival (hazard ratio, 1.02 per year [95&#37; CI, 0.99-1.04&#59; P &#61; .21]). Morphometric age stratified patients at high and low risk for mortality. For example, patients in the middle chronologic age tertile who jumped to the oldest morphometric tertile have worse outcomes than those who jumped to the youngest morphometric tertile (74.4&#37; vs 93.2&#37; survival at 1 year [P &#61; .03]; 45.2&#37; vs 75.0&#37; at 5 years [P &#61; .03]). CONCLUSIONS & RELEVANCE Morphometric age correlated with mortality after liver transplant with better discrimination than chronologic age. Assigning a morphometric age to potential liver transplant recipients could improve prediction of postoperative mortality risk."
Use of morphomic analysis for preoperative risk stratification in patients undergoing major head and neck cancer surgery,2014-03-00,Plast Reconstr Surg. 2014 Mar&#59;133(3 Suppl)&#58;131. doi&#58; 10.1097/01.prs.0000444939.16228.9f.,https://www.ncbi.nlm.nih.gov/pubmed/25942225,Abstract unavailible
Temporalis muscle morphomics&#58; the psoas of the craniofacial skeleton,2014-01-00,J Surg Res. 2014 Jan&#59;186(1)&#58;246-52. doi&#58; 10.1016/j.jss.2013.07.059. Epub 2013 Aug 30.,https://www.ncbi.nlm.nih.gov/pubmed/24079810,"BACKGROUND The psoas muscle has been shown to predict patient outcomes based on the quantification of muscle area using computed tomography (CT) scans. The accuracy of morphomic analysis on other muscles has not been clearly delineated. In this study, we determine the correlation between temporalis muscle mass, psoas muscle area, age, body mass index (BMI), and gender. METHODS Temporalis and psoas muscle dimensions were determined on all trauma patients who had both abdominal and maxillofacial CT scans at the University of Michigan between 2004 and 2011. Age, BMI, and gender were obtained through chart review. Univariate and multivariate analyses were performed to determine the relative relationship between morphomic data of the temporalis and psoas muscles and the ability of such information to correspond with clinical variables, such as BMI, age, and gender. RESULTS A total of 646 patients were included in the present study. Among the 249 (38.5&#37;) women and 397 (61.5&#37;) men, the average age was 49.2 y. Average BMI was 27.9 kg/m<sup>2</sup>. Total psoas muscle area directly correlated with mean temporalis muscle thickness (r &#61; 0.57, P &#60; 0.001). There was an indirect correlation between age and psoas muscle area (r &#61; -0.52, P &#60; 0.001) and temporalis muscle thickness (r &#61; -0.36, P &#60; 0.001). Neither psoas nor temporalis measurements correlated strongly with BMI (r &#61; 0.18, P &#60; 0.001; r &#61; 0.14, P &#61; 0.002), although stronger correlations were found in a more &#34;frail,&#34; subgroup as defined by a BMI of &#60;20 (r &#61; 0.59, P &#61; 0.002). CONCLUSIONS We demonstrate that dimensions of the temporalis muscle can be quantified and may serve as a proxy for age. Going forward, we aim to assess the utility of temporalis and psoas morphomics in predicting complication rates among trauma patients admitted to the hospital to predict outcomes in the future."
Characterization of vertebral angle and torso depth by gender and age groups with a focus on occupant safety,2014-00-00,Traffic Inj Prev. 2014&#59;15(1)&#58;66-72. doi&#58; 10.1080/15389588.2013.829217.,https://www.ncbi.nlm.nih.gov/pubmed/24279968,"OBJECTIVE The human body changes as it becomes older. The automotive safety community has been interested in understanding the effect of age on restraint performance. Focus has been placed on characterizing the body&#39;s structural changes associated with age and gender. In this study, spine alignment and torso depth were assessed, because both variables have been shown to affect injury risk. METHODS The data was obtained from computed tomography (CT) scans of more than 24,000 patients aged 16 and older. The data consisted of thoracic and lumbar vertebral angles relative to a fixed plane, as well as vertebra-to-front skin and spine-to-back skin distances. Angle measurements were taken in the sagittal plane at each vertebra level from T1 to L5&#59; distance measurements were taken from T6 to L5. The data were analyzed as a function of gender and age with the young group defined as 16 to 29 years old and the older group as 75 and up. RESULTS Vertebral angles were different depending on location. They varied from -24.5 &#177; 8.9&#176; at T2 to 12.2 &#177; 5.6&#176; at L1. The vertebral angles also varied with age. Angles in the older male group were 1.74 times larger at T1 and 2.03 times larger at T7 than in the young male group. Similar findings were observed for females. The effect of age and gender was modeled with forward/backward selection using a regression model. The vertebra-to-front skin distance also differed depending on vertebral level. It was highest at T10 at 162.5 &#177; 30.9 mm and lowest at L4 at 125.3 &#177; 37.3 mm for the entire study population. On average, males had larger distances than females. The spine-to-back distances were greatest in the lumbar area. The spine-to-back distance increased with lower vertebral level, regardless of age. The vertebral angle and distance data were analyzed for a male subgroup approximating the height and weight of a 50<sup>th</sup> percentile male dummy. The results showed that the vertebra-to-front skin distance increased with age. There was not a clear trend for the spine-to-back skin distance and L1 vertebral angle. CONCLUSIONS The changes in the vertebral angles, as well as the anterior and posterior spine-to-skin distances along the sagittal plane, were determined as a function of age and gender. The effect was greatest in the mid-thoracic area. Spine alignment and body shape differences need to be considered in human mathematical models used to develop safety countermeasures for the older population, because they may affect the loading path and lead to different seating postures or belt positioning. Supplemental materials are available for this article. Go to the publisher&#39;s online edition of Traffic Injury Prevention to view the supplemental file."
The quantification of liver anatomical changes and assessment of occupant liver injury patterns,2013-11-00,Stapp Car Crash J. 2013 Nov&#59;57&#58;267-83.,https://www.ncbi.nlm.nih.gov/pubmed/24435735,"Liver injuries can be significant in vehicle crashes. In this study, the liver anatomy was quantified in both adult and pediatric populations as a function of gender and age. Five anatomical liver measurements were determined using CT scans of 260 normal livers. These measurements include the area and volume, and the length, width, and girth of the liver (IRB HUM00041441). To characterize geometrical shape, an inscribed sphere and circumscribed ellipsoid were fitted on the measurements. In the pediatric population the liver area and volume continuously increased with age. When normalized by patient weight, volume measurements show a decrease in volume with age, suggesting that the liver occupies a smaller proportion of the body with age. In the adult population, liver measurements varied with gender. The superior and inferior locations of the liver were also recorded with respect to the spine. The lower portion was at the L3 in small children and at L2 as children approached puberty. It stayed in that area through the 60&#43; group, offering more ribcage protection. Liver injury patterns were also assessed in crash occupants. Seventy-two occupants with moderate to severe (AIS 2&#43;) liver injuries were investigated. A new methodology was presented and consisted of quantifying blood volumes. The results were compared to overall liver volume and injury scales. No clear distinction on the injury pattern was observed by age group. Liver injuries were more commonly associated with AIS 2&#43; thoracic injuries in adults than in children. Most injuries occurred in the right lobe."
Prediction of thoracic injury severity in frontal impacts by selected anatomical morphomic variables through model-averaged logistic regression approach,2013-11-00,Accid Anal Prev. 2013 Nov&#59;60&#58;172-80. doi&#58; 10.1016/j.aap.2013.08.020. Epub 2013 Sep 5.,https://www.ncbi.nlm.nih.gov/pubmed/24060439,"This study resulted in a model-averaging methodology that predicts crash injury risk using vehicle, demographic, and morphomic variables and assesses the importance of individual predictors. The effectiveness of this methodology was illustrated through analysis of occupant chest injuries in frontal vehicle crashes. The crash data were obtained from the International Center for Automotive Medicine (ICAM) database for calendar year 1996 to 2012. The morphomic data are quantitative measurements of variations in human body 3-dimensional anatomy. Morphomics are obtained from imaging records. In this study, morphomics were obtained from chest, abdomen, and spine CT using novel patented algorithms. A NASS-trained crash investigator with over thirty years of experience collected the in-depth crash data. There were 226 cases available with occupants involved in frontal crashes and morphomic measurements. Only cases with complete recorded data were retained for statistical analysis. Logistic regression models were fitted using all possible configurations of vehicle, demographic, and morphomic variables. Different models were ranked by the Akaike Information Criteria (AIC). An averaged logistic regression model approach was used due to the limited sample size relative to the number of variables. This approach is helpful when addressing variable selection, building prediction models, and assessing the importance of individual variables. The final predictive results were developed using this approach, based on the top 100 models in the AIC ranking. Model-averaging minimized model uncertainty, decreased the overall prediction variance, and provided an approach to evaluating the importance of individual variables. There were 17 variables investigated&#58; four vehicle, four demographic, and nine morphomic. More than 130,000 logistic models were investigated in total. The models were characterized into four scenarios to assess individual variable contribution to injury risk. Scenario 1 used vehicle variables&#59; Scenario 2, vehicle and demographic variables&#59; Scenario 3, vehicle and morphomic variables&#59; and Scenario 4 used all variables. AIC was used to rank the models and to address over-fitting. In each scenario, the results based on the top three models and the averages of the top 100 models were presented. The AIC and the area under the receiver operating characteristic curve (AUC) were reported in each model. The models were re-fitted after removing each variable one at a time. The increases of AIC and the decreases of AUC were then assessed to measure the contribution and importance of the individual variables in each model. The importance of the individual variables was also determined by their weighted frequencies of appearance in the top 100 selected models. Overall, the AUC was 0.58 in Scenario 1, 0.78 in Scenario 2, 0.76 in Scenario 3 and 0.82 in Scenario 4. The results showed that morphomic variables are as accurate at predicting injury risk as demographic variables. The results of this study emphasize the importance of including morphomic variables when assessing injury risk. The results also highlight the need for morphomic data in the development of human mathematical models when assessing restraint performance in frontal crashes, since morphomic variables are more &#34;tangible&#34; measurements compared to demographic variables such as age and gender."
Cost of major surgery in the sarcopenic patient,2013-11-00,J Am Coll Surg. 2013 Nov&#59;217(5)&#58;813-8. doi&#58; 10.1016/j.jamcollsurg.2013.04.042. Epub 2013 Oct 9.,https://www.ncbi.nlm.nih.gov/pubmed/24119996,"BACKGROUND Sarcopenia is associated with poor outcomes after major surgery. There are currently no data regarding the financial implications of providing care for these high-risk patients. STUDY DESIGN We identified 1,593 patients within the Michigan Surgical Quality Collaborative (MSQC) who underwent elective major general or vascular surgery at a single institution between 2006 and 2011. Patient sarcopenia, determined by lean psoas area (LPA), was derived from preoperative CT scans using validated analytic morphomic methods. Financial data including hospital revenue and direct costs were acquired for each patient through the hospital&#39;s finance department. Financial data were adjusted for patient and procedural factors using multiple linear regression methods, and Mann-Whitney U test was used for significance testing. RESULTS After controlling for patient and procedural factors, decreasing LPA was independently associated with increasing payer costs (&#36;6,989.17 per 1,000 mm(2) LPA, p &#60; 0.001). The influence of LPA on payer costs increased to &#36;26,988.41 per 1,000 mm(2) decrease in LPA (p &#60; 0.001) in patients who experienced a postoperative complication. Further, the covariate-adjusted hospital margin decreased by &#36;2,620 per 1,000 mm(2) decrease in LPA (p &#60; 0.001) such that average negative margins were observed in the third of patients with the smallest LPA. CONCLUSIONS Sarcopenia is associated with high payer costs and negative margins after major surgery. Although postoperative complications are universally expensive to payers and providers, sarcopenic patients represent a uniquely costly patient demographic. Given that sarcopenia may be remediable, efforts to attenuate costs associated with major surgery should focus on targeted preoperative interventions to optimize these high risk patients for surgery."
Can anatomical morphomic variables help predict abdominal injury rates in frontal vehicle crashes&#63;,2013-10-11,Traffic Inj Prev. 2013 Oct 11&#59;15(6)&#58;619-26. doi&#58; 10.1080/15389588.2013.852665.,https://www.ncbi.nlm.nih.gov/pubmed/24867572,"OBJECTIVE Abdominal injuries resulting from vehicle crashes can be significant, in particular when undetected. In this study, abdominal injuries for occupants involved in frontal impacts were assessed using crash and medical data. METHODS Injury rates and patterns were first assessed with respect to thoracic injuries. A statistical analysis was then conducted to predict abdominal injury outcome using 18 covariate variables, including 4 vehicle, 4 demographic, and 10 morphomic, derived from computed tomography (CT) scans. More than 260,000 logistic regression models were fitted using all possible variable combinations. The models were ranked using the Akaike information criterion (AIC) and combined through the model-averaging approach to produce the optimal predictive model. The performance of the models was then assessed using the area under the curve (AUC). RESULTS The rate of serious thoracic injury was 2.49 times higher than the rate of abdominal injury. The associated odds ratio was 2.31 (P &#60;.01). These results suggest a strong association between serious abdominal and thoracic injuries. The optimal model AUC was 0.646 when using solely vehicle data, 0.696 when combining vehicle and demographic data, 0.866 when combining vehicle and morphomic data, and 0.879 when combining vehicle, demographic, and morphomic data. These results suggest that morphomic variables better predict abdominal injury outcomes than demographic variables. The most important morphomics variables included visceral fat area, trabecular bone density, and spine angulation. CONCLUSION This study is the first to combine vehicle, demographic, and anatomical data to predict abdominal injury rates in frontal crashes."
Decreased core muscle size is associated with worse patient survival following esophagectomy for cancer,2013-10-00,Dis Esophagus. 2013 Sep-Oct&#59;26(7)&#58;716-22. doi&#58; 10.1111/dote.12020. Epub 2013 Jan 25.,https://www.ncbi.nlm.nih.gov/pubmed/23350746,"Preoperative risk assessment, particularly for patient frailty, remains largely subjective. This study evaluated the relationship between core muscle size and patient outcomes following esophagectomy for malignancy. Using preoperative computed tomography scans in 230 subjects who had undergone transhiatal esophagectomy for cancer between 2001 and 2010, lean psoas area (LPA), measured at the fourth lumbar vertebra, was determined. Cox proportional hazards regression was employed to analyze overall survival (OS) and disease-free survival (DFS) adjusted for age, gender, and stage, and the Akaike information criterion was used to determine each covariate contribution to OS and DFS. Univariate analysis demonstrated that increasing LPA correlated with both OS (P &#61; 0.017) and DFS (P &#61; 0.038). In multivariate analysis controlling for patient and tumor characteristics, LPA correlated with OS and DFS in patients who had not received neoadjuvant treatment (n &#61; 64), with higher LPA associated with improved OS and DFS. Moreover, LPA was of equivalent, or slightly higher importance than pathologic stage. These measures were not predictive among patients (n &#61; 166) receiving neoadjuvant chemoradiation. Core muscle size appears to be an independent predictor of both OS and DFS, as significant as tumor stage, in patients following transhiatal esophagectomy. Changes in muscle mass related to preoperative treatment may confound this effect. Assessment of core muscle size may provide an additional objective measure for risk stratification prior to undergoing esophagectomy."
Temporal morphomics as a model for determining preoperative risk of blood transfusion in non-syndromic craniosynostasis patients,2013-09-00,Plast Reconstr Surg. 2013 Sep&#59;132(3)&#58;403e-12e. doi&#58; 10.1097/PRS.0b013e31829ad31f.,https://www.ncbi.nlm.nih.gov/pubmed/23985652,"BACKGROUND Estimates of blood loss during craniosynostosis surgeries have ranged from 42 to 126 percent of infant&#39;s total blood volume. Currently, no risk model has been developed to determine the likelihood of needing a blood transfusion. The authors propose an objective model, based on patients&#39; three-dimensional anatomical characteristics, to stratify the likelihood of needing perioperative packed red blood cells. METHODS High-throughput image analysis from already ordered preoperative computed tomographic scans was used to reconstruct the three-dimensional anatomy of the temporalis muscle and overlying temporal fat pad. Using these morphomic measurements, the authors created a risk assessment model of the amount of packed red blood cells infused based on morphomic variations in temporal soft tissue. RESULTS The authors evaluated 139 infants with nonsyndromic craniosynostosis from the University of Michigan Health System. Results show the need for blood transfusion ranged from 94.1 percent among patients in the smallest quartile for temporal fat pad volume compared with 65.7 percent among the group with the largest quartile for temporal fat pad volume (p &#61; 0.0057). Using multivariable linear regression, temporal fat pad volume (p &#61; 0.012) and fat pad thickness (p &#61; 0.036) were independent predictors for amount of packed red blood cells required. CONCLUSIONS The authors demonstrate that patients with diminished temporal fat pad volume are significantly more likely to need increased packed red blood cell transfusions. In addition, by use of multivariable linear regression, their data suggest that temporal fat pad volume and thickness were independent predictors for the amount of required transfusion of packed red blood cells."
Analytic morphometric assessment of patients undergoing colectomy for colon cancer,2013-09-00,J Surg Oncol. 2013 Sep&#59;108(3)&#58;169-75. doi&#58; 10.1002/jso.23366. Epub 2013 Jul 11.,https://www.ncbi.nlm.nih.gov/pubmed/23846976,"BACKGROUND Analytic morphometrics provides objective data that may better stratify risk. We investigated morphometrics and outcome among colon cancer patients. METHODS An IRB-approved review identified 302 patients undergoing colectomy who had CT scans. These were processed to measure psoas area (PA), density (PD), subcutaneous fat (SFD), visceral fat (VF), and total body fat (TBF). Correlation with complications, recurrence, and survival were obtained by t-tests and linear regression models after adjusting for age and Charlson index. RESULTS The best predictor of surgical complications was PD. PMH, Charlson, BMI, and age were not significant when PD was considered. SF area was the single best predictor of a wound infection. While all measures of obesity correlated with outcome, TBF was most predictive. Final multivariate Cox models for survival included age, Charlson score, nodal positivity, and TBF. CONCLUSIONS Analytic morphometric analysis provided objective data that stratified complications and outcome better than age, BMI, or co-morbidities."
Analysis of Morphomics Parameters by Gender and BMI Groups&#58; thorax shape and H-point location.,2013-09-00,International Research Council on Biomechanics of Injury. 2013 Sep. Session S4-4 - Accident Analysis 2&#58; IRC-13-81.,http://www.ircobi.org/wordpress/downloads/irc13/pdf_files/81.pdf,"The automotive safety community is questioning the effect of obesity on the performance and assessment of occupant protection systems. This study analyzed CT scan measurements of 10,952 individuals older than 15 years by Body Mass Index (BMI) and gender, including the H‐point location defined relative longitudinal distance between the centroid of the femoral head and the most posterior skin measurement, vertebra‐to‐front‐skin distance, and spine‐to‐back‐skin distance along the sagittal plane. The distance data was obtained at each vertebra level.The average H‐point location increased with BMI and varied with gender. A regression analysis was fitted on the data. For females, it was equal to 55.90 &#43;2.47&#42;BMI in the normal size group, 86.25&#43;1.30&#42;BMI in the obese group, and 116.25&#43;0.55&#42;BMI mm in the morbidly obese group (p&#60;0.01). For males the corresponding H‐point was 64.12&#43;2.11&#42;BMI, 77.28&#43;1.62&#42;BMI, and 95.13&#43;1.17&#42;BMI mm (p&#60;0.01). The vertebra‐to‐front skin and spine‐ to‐back skin distances also increased with BMI and differed with gender. With the increasing worldwide concern for obese occupant protection, test devices representative of this segment of the population are necessary. Human math models provide the best option for a parametric analysis of protection systems designed and optimized for various BMI and gender groups. The morphomic data was analyzed to represent a 5<sup>th</sup> percentile female and 50<sup>th</sup> percentile male dummy. These results will be useful in the modifications of the current human mathematical models to represent obese occupants."
